PetID,PetName,AnimalType,OwnerID,Area,GPS_Node,HealthStatus,Vaccinated,LastCheckup
P077,Bruno2,Dog,O177,ZoneA,2,Healthy,Yes,2024-01-25
P078,Miso,Cat,O178,ZoneB,4,Healthy,Yes,2024-01-26
P079,Maximus,Dog,O179,ZoneC,6,Sick,No,2024-01-09
P080,Pearl,Cat,O180,ZoneD,8,Healthy,Yes,2024-01-14
P081,Sammy,Dog,O181,ZoneA,1,Healthy,Yes,2024-01-16
P082,Lucky,Cat,O182,ZoneB,3,Healthy,Yes,2024-01-18
P083,Spike2,Dog,O183,ZoneC,5,Healthy,Yes,2024-01-20
P084,Rose,Cat,O184,ZoneD,7,Sick,No,2024-01-06
P085,Thunder,Dog,O185,ZoneA,2,Healthy,Yes,2024-01-23
P086,Olive,Cat,O186,ZoneB,4,Healthy,Yes,2024-01-25
P087,Rio,Dog,O187,ZoneC,6,Healthy,Yes,2024-01-27
P088,Luna2,Cat,O188,ZoneD,8,Healthy,Yes,2024-01-28
P089,Diesel,Dog,O189,ZoneA,1,Sick,No,2024-01-10
P090,Kitten,Cat,O190,ZoneB,3,Healthy,Yes,2024-01-15
P091,Bobby,Dog,O191,ZoneC,5,Healthy,Yes,2024-01-17
P092,Cloud,Cat,O192,ZoneD,7,Healthy,Yes,2024-01-19
P093,Ranger,Dog,O193,ZoneA,2,Healthy,Yes,2024-01-21
P094,Cherry,Cat,O194,ZoneB,4,Sick,No,2024-01-08
P095,Bruce,Dog,O195,ZoneC,6,Healthy,Yes,2024-01-22
P096,Mango,Cat,O196,ZoneD,8,Healthy,Yes,2024-01-24
P097,Hero,Dog,O197,ZoneA,1,Healthy,Yes,2024-01-25
P098,Pinky,Cat,O198,ZoneB,3,Healthy,Yes,2024-01-26
P099,Tank,Dog,O199,ZoneC,5,Sick,No,2024-01-09
P100,Star,Cat,O200,ZoneD,7,Healthy,Yes,2024-01-14
