DroneID,Source,Destination,Altitude_m,Distance_km,WindLevel,Payload_kg,Priority,ScanArea_sqkm
D43,Warehouse C,Power Substation B,172,8.6,High,3.2,Medium,2.0
D44,Warehouse C,Power Substation C,175,8.9,High,3.3,Medium,2.1
D45,Mapping Hub,Urban Survey A,165,7.6,Medium,0.8,Low,2.0
D46,Mapping Hub,Urban Survey B,168,7.9,Medium,0.8,Low,2.1
D47,Mapping Hub,Urban Survey C,170,8.2,Medium,0.9,Low,2.2
D48,Central Hub,Emergency Shelter A,130,4.4,Low,1.6,High,0.7
D49,Central Hub,Emergency Shelter B,132,4.6,Low,1.7,High,0.7
D50,Central Hub,Emergency Shelter C,135,4.8,Medium,1.8,High,0.8
D51,Warehouse A,Mountain Village A,190,10.8,High,2.2,High,1.6
D52,Warehouse A,Mountain Village B,195,11.2,High,2.3,High,1.7
D53,Warehouse A,Mountain Village C,198,11.6,High,2.4,High,1.8
D54,Mapping Hub,Hill Mapping A,205,12.1,High,0.7,Low,3.6
D55,Mapping Hub,Hill Mapping B,208,12.4,High,0.8,Low,3.7
D56,Mapping Hub,Hill Mapping C,210,12.8,High,0.8,Low,3.8
D57,Central Hub,Warehouse Return A,125,3.6,Low,0.5,Low,0.4
D58,Central Hub,Warehouse Return B,128,3.8,Low,0.5,Low,0.4
D59,Central Hub,Warehouse Return C,130,4.0,Low,0.5,Low,0.5
D60,Warehouse B,Seaport Zone A,165,7.9,Medium,3.5,Medium,1.9
D61,Warehouse B,Seaport Zone B,168,8.1,Medium,3.6,Medium,2.0
D62,Warehouse B,Seaport Zone C,170,8.3,Medium,3.7,Medium,2.1
D63,Mapping Hub,Coastal Mapping A,185,9.7,High,0.8,Low,3.0
D64,Mapping Hub,Coastal Mapping B,188,9.9,High,0.8,Low,3.1
D65,Mapping Hub,Coastal Mapping C,190,10.2,High,0.9,Low,3.2
D66,Central Hub,Data Center A,135,4.7,Low,1.4,Medium,0.8
D67,Central Hub,Data Center B,138,4.9,Low,1.5,Medium,0.8
D68,Central Hub,Data Center C,140,5.1,Medium,1.6,Medium,0.9
D69,Warehouse C,Border Post A,175,9.0,High,3.0,High,2.0
D70,Warehouse C,Border Post B,178,9.3,High,3.1,High,2.1
D71,Warehouse C,Border Post C,180,9.6,High,3.2,High,2.2
D72,Mapping Hub,Pipeline Survey A,170,8.5,Medium,0.9,Low,2.4
D73,Mapping Hub,Pipeline Survey B,172,8.8,Medium,0.9,Low,2.5
D74,Mapping Hub,Pipeline Survey C,175,9.1,Medium,1.0,Low,2.6
D75,Central Hub,Mobile Tower A,145,5.3,Medium,1.7,Medium,0.9
D76,Central Hub,Mobile Tower B,148,5.5,Medium,1.8,Medium,1.0
D77,Central Hub,Mobile Tower C,150,5.7,Medium,1.9,Medium,1.0
D78,Warehouse A,Island Supply A,210,13.2,High,2.1,High,1.9
D79,Warehouse A,Island Supply B,215,13.6,High,2.2,High,2.0
D80,Warehouse A,Island Supply C,220,14.0,High,2.3,High,2.1
D81,Mapping Hub,Island Mapping A,225,14.5,High,0.8,Low,3.9
D82,Mapping Hub,Island Mapping B,228,14.8,High,0.9,Low,4.0
D83,Mapping Hub,Island Mapping C,230,15.2,High,0.9,Low,4.1
D84,Central Hub,Warehouse Audit A,130,4.2,Low,0.6,Low,0.6
D85,Central Hub,Warehouse Audit B,132,4.4,Low,0.6,Low,0.6
D86,Central Hub,Warehouse Audit C,135,4.6,Low,0.6,Low,0.7
D87,Warehouse B,Disaster Relief Camp A,160,7.5,Medium,2.9,High,1.5
D88,Warehouse B,Disaster Relief Camp B,162,7.7,Medium,3.0,High,1.6
D89,Warehouse B,Disaster Relief Camp C,165,8.0,Medium,3.1,High,1.7
D90,Mapping Hub,Flood Zone A,195,11.8,High,0.7,Low,3.5
D91,Mapping Hub,Flood Zone B,198,12.0,High,0.8,Low,3.6
D92,Mapping Hub,Flood Zone C,200,12.3,High,0.8,Low,3.7
D93,Central Hub,Control Tower A,140,5.0,Medium,1.5,Medium,0.9
D94,Central Hub,Control Tower B,142,5.2,Medium,1.6,Medium,0.9
D95,Central Hub,Control Tower C,145,5.4,Medium,1.7,Medium,1.0
D96,Warehouse C,Research Station A,180,9.8,High,2.8,Medium,2.3
D97,Warehouse C,Research Station B,182,10.0,High,2.9,Medium,2.4
D98,Warehouse C,Research Station C,185,10.3,High,3.0,Medium,2.5
D99,Central Hub,Final Delivery Point A,135,4.5,Low,1.8,High,0.8
D100,Central Hub,Final Delivery Point B,138,4.7,Low,1.9,High,0.9
