BookID,Title,Category,Author,Year,Pages,Rating
52,Numerical Methods,Mathematics,R_Nair,2019,340,4.3
53,Urban Planning,Geography,K_Prakash,2018,300,4.1
54,AI Ethics,Technology,M_Roy,2021,280,4.2
55,Digital Signal Processing,Engineering,A_Kannan,2020,420,4.5
56,Financial Management,Business,S_Bansal,2017,330,4.0
57,Cloud Security,Technology,N_Prasad,2022,480,4.7
58,Artificial Vision,Technology,P_Mishra,2021,510,4.8
59,Public Administration,SocialScience,R_Mehra,2016,290,3.9
60,Linear Programming,Mathematics,S_Aggarwal,2019,360,4.4
61,Deep Learning,Technology,A_Tiwari,2022,600,4.9
62,Environmental Law,Law,M_Joshi,2018,310,4.1
63,Probability Theory,Mathematics,R_Parekh,2017,340,4.3
64,Smart Cities,Technology,S_Gupta,2021,420,4.6
65,Advanced Physics,Science,N_Bhatt,2019,460,4.4
66,Digital Image Processing,Engineering,A_Chaudhary,2020,440,4.5
67,Neural Computing,Technology,P_Rajput,2021,520,4.8
68,Indian Economy,Economics,R_Gandhi,2016,280,4.0
69,Agile Methodology,Technology,S_Seth,2020,300,4.3
70,Human Rights,Law,M_Pillai,2015,250,3.8
71,Embedded Systems,Engineering,N_Singhal,2019,410,4.4
72,Automation Systems,Engineering,A_Kale,2021,470,4.6
73,Digital Forensics,Technology,P_Sood,2022,490,4.7
74,Applied Statistics,Mathematics,R_Lal,2018,330,4.2
75,Cyber Law,Law,S_Rangan,2017,290,4.1
76,Virtual Reality,Technology,A_Puri,2021,480,4.6
77,Renewable Resources,Science,N_Giri,2016,310,4.0
78,Data Visualization,Technology,P_Nanda,2020,360,4.4
79,Econometrics,Economics,R_Bhatia,2019,390,4.3
80,Digital Ethics,Philosophy,M_Das,2018,260,4.1
81,Smart Healthcare,Technology,A_Mishra,2022,520,4.8
82,Wireless Communication,Engineering,S_Bose,2020,430,4.5
83,Algorithm Design,Technology,N_Krishna,2021,510,4.7
84,Industrial Management,Business,R_Sharma,2017,320,4.0
85,Computational Biology,Science,P_Ahuja,2021,480,4.6
86,Information Systems,Technology,S_Pillai,2019,400,4.3
87,Artificial Society,SocialScience,A_Nanda,2020,290,4.2
88,Cloud Architecture,Technology,R_Sen,2022,550,4.8
89,Engineering Drawing,Engineering,N_Patil,2016,270,3.9
90,Discrete Structures,Mathematics,P_Sharan,2018,350,4.4
91,Smart Education,Technology,S_Mahajan,2021,420,4.6
92,Scientific Computing,Science,A_Garg,2019,390,4.3
93,Digital Governance,PublicPolicy,R_Aggarwal,2020,310,4.2
94,Machine Ethics,Technology,N_Rawat,2022,280,4.1
95,Advanced Networking,Technology,P_Dube,2021,480,4.7
96,Urban Economics,Economics,S_Joshi,2017,300,4.0
97,IoT Security,Technology,A_Mehrotra,2022,460,4.8
98,Knowledge Management,Business,R_Chandra,2018,330,4.2
99,Computational Logic,Mathematics,N_Verma,2019,360,4.4
100,Digital Learning Systems,Education,P_Khandelwal,2021,410,4.6
